bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1385485,1791,AB24,1,Introduced,2020-12-07,"Unemployment insurance: benefit determination deadlines.","An act to amend Sections 1329 and 1330 of the Unemployment Insurance Code, relating to unemployment insurance, and declaring the urgency thereof, to take effect immediately.",461,"Assembly Insurance",2021-04-29,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB24/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB24
1385514,1791,AB25,1,Introduced,2020-12-07,"Worker classification: employees and independent contractors.","An act to amend Section 2750.5 of, to add Section 2750.7 to, and to repeal Article 1.5 (commencing with Section 2775) of Chapter 2 of Division 3 of, the Labor Code, relating to employment.",464,"Assembly Labor and Employment",2021-01-11,"Referred to Com. on L. & E.",https://legiscan.com/CA/bill/AB25/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB25
1385442,1791,AB26,4,Passed,2021-09-30,"Peace officers: use of force.","An act to amend Section 7286 of the Government Code, relating to peace officers.",0,,2021-09-30,"Chaptered by Secretary of State - Chapter 403, Statutes of 2021.",https://legiscan.com/CA/bill/AB26/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB26
1385595,1791,AB27,4,Passed,2021-09-29,"Homeless children and youths and unaccompanied youths: reporting.","An act to amend Sections 48852.5 and 48859 of, and to add Sections 48851, 48852.6, and 48857 to, the Education Code, relating to homeless children and youths and unaccompanied youths, and declaring the urgency thereof, to take effect immediately.",0,,2021-09-29,"Chaptered by Secretary of State - Chapter 394, Statutes of 2021.",https://legiscan.com/CA/bill/AB27/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB27
1385480,1791,AB28,1,Introduced,2020-12-07,"Hate crimes.","An act to amend Sections 422.6 and 422.7 of the Penal Code, relating to hate crimes.",0,,2021-05-20,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB28/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB28
1385421,1791,AB29,1,Introduced,2020-12-07,"State bodies: meetings.","An act to amend Section 11125 of the Government Code, relating to public meetings.",0,,2021-05-20,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB29/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB29
1385476,1791,AB30,1,Introduced,2020-12-07,"Outdoor access to nature: environmental equity.","An act to add Section 12804.6 to the Government Code, relating to the environment.",449,"Assembly Appropriations",2021-05-20,"In committee: Hearing postponed by committee.",https://legiscan.com/CA/bill/AB30/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB30
1385508,1791,AB31,1,Introduced,2020-12-07,"Office of the Child Protection Ombudsperson.","An act to add Chapter 6 (commencing with Section 16550) to Part 4 of Division 9 of the Welfare and Institutions Code, relating to child welfare.",0,,2021-05-20,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB31/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB31
1385465,1791,AB32,2,Engrossed,2021-06-01,Telehealth.,"An act to amend Section 2290.5 of the Business and Professions Code, to amend Section 1374.14 of the Health and Safety Code, to amend Section 10123.855 of the Insurance Code, and to amend Section 14087.95 of, and to add Sections 14092.4, 14132.721, and 14132.722 to, the Welfare and Institutions Code, relating to telehealth.",480,"Senate Health",2021-07-08,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB32/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB32
1385585,1791,AB33,4,Passed,2021-09-23,"Energy Conservation Assistance Act of 1979: energy storage systems and electric vehicle charging infrastructure: Native American tribes.","An act to amend Sections 25410.6, 25411, 25412.5, 25413, 25414, 25415, and 25416 of the Public Resources Code, relating to energy, and making an appropriation therefor.",0,,2021-09-23,"Chaptered by Secretary of State - Chapter 226, Statutes of 2021.",https://legiscan.com/CA/bill/AB33/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB33
1385569,1791,AB34,1,Introduced,2020-12-07,"Broadband for All Act of 2022.","An act to add Title 26 (commencing with Section 101000) to the Government Code, relating to broadband, by providing the funds necessary therefor through an election for the issuance and sale of bonds of the State of California and for the handling and disposition of those funds.",0,,2021-05-20,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB34/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB34
1385526,1791,AB35,2,Engrossed,2021-06-01,"Social media platforms: false information.","An act to add Chapter 22.3.5 (commencing with Section 22595) to Division 8 of the Business and Professions Code, relating to false information.",482,"Senate Judiciary",2021-07-13,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB35/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB35
1385538,1791,AB36,4,Passed,2021-10-08,"Design-build contracting: Town of Paradise","An act to add Section 22162.8 to the Public Contract Code, relating to public contracts.",0,,2021-10-08,"Chaptered by Secretary of State - Chapter 689, Statutes of 2021.",https://legiscan.com/CA/bill/AB36/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB36
1385477,1791,AB37,4,Passed,2021-09-27,"Elections: vote by mail ballots.","An act to amend Sections 3000.5, 3016.7, 3019.7, 3020, and 15101 of, to add Section 3025.5 to, and to repeal Section 3016.5 of, the Elections Code, relating to elections.",0,,2021-09-27,"Chaptered by Secretary of State - Chapter 312, Statutes of 2021.",https://legiscan.com/CA/bill/AB37/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB37
1385471,1791,AB38,1,Introduced,2020-12-07,"Statewide bail schedule.","An act to add Section 1269d to the Penal Code, relating to bail.",468,"Assembly Public Safety",2021-04-06,"In committee: Set, first hearing. Failed passage.",https://legiscan.com/CA/bill/AB38/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB38
1385557,1791,AB39,4,Passed,2021-09-23,"California-China Climate Institute.","An act to add Article 8 (commencing with Section 92687) to Chapter 6 of Part 57 of Division 9 of Title 3 of the Education Code, relating to climate change.",0,,2021-09-23,"Chaptered by Secretary of State - Chapter 227, Statutes of 2021.",https://legiscan.com/CA/bill/AB39/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB39
1385423,1791,AB40,1,Introduced,2020-12-07,"Political Reform Act of 1974: slate mailers.","An act to amend Section 84305.5 of the Government Code, relating to the Political Reform Act of 1974.",0,,2021-06-03,"Ordered to inactive file at the request of Assembly Member Lorena Gonzalez.",https://legiscan.com/CA/bill/AB40/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB40
1385559,1791,AB41,4,Passed,2021-10-08,"Broadband infrastructure deployment.","An act to amend Section 14051 of the Government Code, and to add Section 281.6 to the Public Utilities Code, relating to communications.",0,,2021-10-08,"Chaptered by Secretary of State - Chapter 659, Statutes of 2021.",https://legiscan.com/CA/bill/AB41/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB41
1385590,1791,AB42,1,Introduced,2020-12-07,"Unemployment insurance: advisory committee on unemployment insurance.","An act to add Article 2 (commencing with Section 370) to Chapter 2 of Part 1 of Division 1 to the Unemployment Insurance Code, relating to unemployment insurance.",461,"Assembly Insurance",2021-02-22,"Re-referred to Com. on INS.",https://legiscan.com/CA/bill/AB42/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB42
1385492,1791,AB43,4,Passed,2021-10-08,"Traffic safety.","An act to amend Sections 627, 21400, 22352, 22354, 22358, and 40802 of, and to add Sections 22358.6, 22358.7, 22358.8, and 22358.9 to, the Vehicle Code, relating to traffic safety.",0,,2021-10-08,"Chaptered by Secretary of State - Chapter 690, Statutes of 2021.",https://legiscan.com/CA/bill/AB43/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB43
1385490,1791,AB44,1,Introduced,2020-12-07,"Real estate licensees.","An act to amend Section 10140.6 of the Business and Professions Code, relating to business.",451,"Assembly Business and Professions",2021-01-11,"Referred to Com. on B. & P.",https://legiscan.com/CA/bill/AB44/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB44
1385467,1791,AB45,4,Passed,2021-10-06,"Industrial hemp products.","An act to add and repeal Section 26013.2 of the Business and Professions Code, to amend Sections 11018.5, 100425, and 110065 of, to add Sections 110036, 110407, 110469, 110611, 111691, and 113091 to, to add Chapter 9 (commencing with Section 111920) to Part 5 of Division 104 of, and to repeal Section 111921.6 of, the Health and Safety Code, relating to industrial hemp, and declaring the urgency thereof, to take effect immediately.",0,,2021-10-06,"Chaptered by Secretary of State - Chapter 576, Statutes of 2021.",https://legiscan.com/CA/bill/AB45/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB45
1385405,1791,AB46,4,Passed,2021-10-08,"California Youth Empowerment Act.","An act to add and repeal Chapter 3.4 (commencing with Section 8261) of Division 1 of Title 2 of the Government Code, relating to youth.",0,,2021-10-08,"Chaptered by Secretary of State - Chapter 660, Statutes of 2021.",https://legiscan.com/CA/bill/AB46/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB46
1385556,1791,AB47,2,Engrossed,2021-06-01,"Human services: coordinated immigration support services.","An act to add Chapter 5.65 (commencing with Section 13350) to Part 3 of Division 9 of the Welfare and Institutions Code, relating to human services.",0,,2021-08-26,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB47/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB47
1385462,1791,AB48,4,Passed,2021-09-30,"Law enforcement: use of force.","An act to amend Section 12525.2 of the Government Code, and to add Sections 13652 and 13652.1 to the Penal Code, relating to law enforcement.",0,,2021-09-30,"Chaptered by Secretary of State - Chapter 404, Statutes of 2021.",https://legiscan.com/CA/bill/AB48/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB48
1385489,1791,AB49,1,Introduced,2020-12-07,"California Debt Limit Allocation Committee: elimination and allocation of duties.","An act to amend Sections 6586.5, 6586.7, 8869.82, 8869.84, 8869.90, and 8869.94 of, to amend the heading of Chapter 11.8 (commencing with Section 8869.80) of Division 1 of Title 2 of, and to repeal and add Section 8869.83 of, the Government Code, to amend Sections 50172, 50197.5, and 51505 of the Health and Safety Code, amend Section 89 of the Military and Veterans Code, and amend Sections 12206, 17058, and 23610.5 of the Revenue and Tax Code, relating to state government.",450,"Assembly Banking and Finance",2021-04-28,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB49/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB49
1385410,1791,AB50,1,Introduced,2020-12-07,"Climate change: Climate Adaptation Center and Regional Support Network: sea level rise.","An act to add Section 35626 to the Public Resources Code, relating to climate change.",466,"Assembly Natural Resources",2021-01-11,"Referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB50/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB50
1385520,1791,AB51,1,Introduced,2020-12-07,"Climate change: adaptation: regional climate adaptation planning groups: regional climate adaptation plans.","An act to add Sections 71158 and 71159 to the Public Resources Code, relating to climate change.",466,"Assembly Natural Resources",2021-01-11,"Referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB51/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB51
1385414,1791,AB52,1,Introduced,2020-12-07,"California Global Warming Solutions Act of 2006: scoping plan updates: wildfires.","An act to add Section 38562.8 to the Health and Safety Code, relating to greenhouse gases.",466,"Assembly Natural Resources",2021-01-11,"Referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB52/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB52
1385498,1791,AB53,1,Introduced,2020-12-07,"Election day holiday.","An act to amend Section 7.1 of the Civil Code, to amend Sections 37220, 44988, 45203, 45205, 79020, 79030, 88203, 88205, and 89005.7 of, and to add Article 7 (commencing with Section 92070) to Chapter 1 of Part 57 of Division 9 of Title 3 of, the Education Code, to amend Section 1100 of the Elections Code, to amend Sections 6700, 19853, and 19853.1 of the Government Code, and to amend Section 4692 of the Welfare and Institutions Code, relating to elections.",0,,2021-05-20,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB53/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB53
1385460,1791,AB54,1,Introduced,2020-12-07,"COVID-19 emergency order violation: license revocation.","An act to add Sections 464.5 and 24200.8 to the Business and Professions Code, relating to business, and declaring the urgency thereof, to take effect immediately.",451,"Assembly Business and Professions",2021-04-13,"In committee: Set, first hearing. Failed passage.",https://legiscan.com/CA/bill/AB54/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB54
1385451,1791,AB55,1,Introduced,2020-12-07,"Employment: telecommuting.","An act relating to employment.",0,,2020-12-08,"From printer. May be heard in committee January 7.",https://legiscan.com/CA/bill/AB55/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB55
1385544,1791,AB56,4,Passed,2021-10-05,"Benefits: outgoing mail: claim processing: reporting.","An act to amend Section 11019.7 of the Government Code, and to amend Section 2614 of, and to add Sections 320.4 and 1326.8 to, the Unemployment Insurance Code, relating to benefits.",0,,2021-10-05,"Chaptered by Secretary of State - Chapter 510, Statutes of 2021.",https://legiscan.com/CA/bill/AB56/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB56
1385500,1791,AB57,4,Passed,2021-10-08,"Law enforcement: hate crimes.","An act to amend Sections 422.87 and 13519.6 of the Penal Code, relating to law enforcement.",0,,2021-10-08,"Chaptered by Secretary of State - Chapter 691, Statutes of 2021.",https://legiscan.com/CA/bill/AB57/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB57
1385406,1791,AB58,1,Introduced,2020-12-07,"Pupil health: suicide prevention policies and training: school-based health programs: pilot program.","An act to amend Section 215 of the Education Code, to add Section 124174.8 to the Health and Safety Code, and to amend Section 14115.8 of the Welfare and Institutions Code, relating to pupil health.",455,"Assembly Education",2021-01-11,"Referred to Coms. on ED. and HEALTH.",https://legiscan.com/CA/bill/AB58/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB58
1385445,1791,AB59,1,Introduced,2020-12-07,"Mitigation Fee Act: fees: notice and timelines.","An act to amend Sections 66013, 66014, 66016, 66019, and 66020 of, and to repeal Section 66022 of, the Government Code, relating to land use.",465,"Assembly Local Government",2021-01-11,"Referred to Coms. on L. GOV. and H. & C.D.",https://legiscan.com/CA/bill/AB59/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB59
1385548,1791,AB60,1,Introduced,2020-12-07,"Law enforcement.","An act to amend Section 1029 of the Government Code, and to amend Sections 832.7, 832.18, 13503, 13506, 13510, 13510.1, and 13512 of, to amend the heading of Article 2 (commencing with Section 13510) of Chapter 1 of Title 4 of Part 4 of, and to add Sections 13509.5, 13510.8, and 13510.9 to, the Penal Code, relating to law enforcement.",468,"Assembly Public Safety",2021-04-06,"In committee: Hearing postponed by committee.",https://legiscan.com/CA/bill/AB60/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB60
1385580,1791,AB61,4,Passed,2021-10-08,"Business pandemic relief.","An act to add and repeal Section 25750.5 of the Business and Professions Code, to add and repeal Section 65907 of the Government Code, and to amend Section 114067 of the Health and Safety Code, relating to business pandemic relief, and declaring the urgency thereof, to take effect immediately.",0,,2021-10-08,"Chaptered by Secretary of State - Chapter 651, Statutes of 2021.",https://legiscan.com/CA/bill/AB61/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB61
1385550,1791,AB62,1,Introduced,2020-12-07,"Income taxes: credits: costs to comply with COVID-19 regulations.","An act to add Sections 17053.60 and 23660 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",469,"Assembly Revenue and Taxation",2021-03-22,"In committee: Hearing postponed by committee.",https://legiscan.com/CA/bill/AB62/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB62
